,precision,recall,f1-score,support
(vertigo) Paroymsal  Positional Vertigo,1.0,1.0,1.0,1.0
AIDS,1.0,1.0,1.0,1.0
Acne,1.0,1.0,1.0,1.0
Alcoholic hepatitis,1.0,1.0,1.0,1.0
Allergy,1.0,1.0,1.0,1.0
Arthritis,1.0,1.0,1.0,1.0
Bronchial Asthma,1.0,1.0,1.0,1.0
Cervical spondylosis,1.0,1.0,1.0,1.0
Chicken pox,1.0,1.0,1.0,1.0
Chronic cholestasis,1.0,1.0,1.0,1.0
Common Cold,1.0,1.0,1.0,1.0
Dengue,1.0,1.0,1.0,1.0
Diabetes ,1.0,1.0,1.0,1.0
Dimorphic hemmorhoids(piles),1.0,1.0,1.0,1.0
Drug Reaction,1.0,1.0,1.0,1.0
Fungal infection,1.0,0.5,0.6666666666666666,2.0
GERD,1.0,1.0,1.0,1.0
Gastroenteritis,1.0,1.0,1.0,1.0
Heart attack,1.0,1.0,1.0,1.0
Hepatitis B,1.0,1.0,1.0,1.0
Hepatitis C,1.0,1.0,1.0,1.0
Hepatitis D,1.0,1.0,1.0,1.0
Hepatitis E,1.0,1.0,1.0,1.0
Hypertension ,1.0,1.0,1.0,1.0
Hyperthyroidism,1.0,1.0,1.0,1.0
Hypoglycemia,1.0,1.0,1.0,1.0
Hypothyroidism,1.0,1.0,1.0,1.0
Impetigo,0.5,1.0,0.6666666666666666,1.0
Jaundice,1.0,1.0,1.0,1.0
Malaria,1.0,1.0,1.0,1.0
Migraine,1.0,1.0,1.0,1.0
Osteoarthristis,1.0,1.0,1.0,1.0
Paralysis (brain hemorrhage),1.0,1.0,1.0,1.0
Peptic ulcer diseae,1.0,1.0,1.0,1.0
Pneumonia,1.0,1.0,1.0,1.0
Psoriasis,1.0,1.0,1.0,1.0
Tuberculosis,1.0,1.0,1.0,1.0
Typhoid,1.0,1.0,1.0,1.0
Urinary tract infection,1.0,1.0,1.0,1.0
Varicose veins,1.0,1.0,1.0,1.0
hepatitis A,1.0,1.0,1.0,1.0
accuracy,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
macro avg,0.9878048780487805,0.9878048780487805,0.9837398373983739,42.0
weighted avg,0.9880952380952381,0.9761904761904762,0.9761904761904762,42.0
